file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,4
style.css,2,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,31
style.css,3,css,d67f46b0,Neil Bango,2025-10-17,16:51:13,-07:00,2025-10-17T16:51:13-07:00,1,22
style.css,4,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,5,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,6,css,e59a233d,Neil Bango,2025-10-02,22:08:53,-07:00,2025-10-02T22:08:53-07:00,0,4
style.css,7,css,e59a233d,Neil Bango,2025-10-02,22:08:53,-07:00,2025-10-02T22:08:53-07:00,2,43
style.css,8,css,e59a233d,Neil Bango,2025-10-02,22:08:53,-07:00,2025-10-02T22:08:53-07:00,4,42
style.css,9,css,e59a233d,Neil Bango,2025-10-02,22:08:53,-07:00,2025-10-02T22:08:53-07:00,3,0
style.css,10,css,e59a233d,Neil Bango,2025-10-02,22:08:53,-07:00,2025-10-02T22:08:53-07:00,2,23
style.css,11,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,2,15
style.css,12,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,2,18
style.css,13,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,2,12
style.css,14,css,d67f46b0,Neil Bango,2025-10-17,16:51:13,-07:00,2025-10-17T16:51:13-07:00,2,32
style.css,15,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,16,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,17,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,3
style.css,18,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,12
style.css,19,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,17
style.css,20,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,23
style.css,21,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,25
style.css,22,css,d67f46b0,Neil Bango,2025-10-17,16:51:13,-07:00,2025-10-17T16:51:13-07:00,1,40
style.css,23,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,24,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,25,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,5
style.css,26,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,6
style.css,27,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,20
style.css,28,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,13
style.css,29,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,17
style.css,30,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,13
style.css,31,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,32,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,33,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,13
style.css,34,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,25
style.css,35,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,25
style.css,36,css,d67f46b0,Neil Bango,2025-10-17,16:51:13,-07:00,2025-10-17T16:51:13-07:00,1,39
style.css,37,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,20
style.css,38,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,39,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,40,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,11
style.css,41,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,45
style.css,42,css,d67f46b0,Neil Bango,2025-10-17,16:51:13,-07:00,2025-10-17T16:51:13-07:00,1,69
style.css,43,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,44,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,45,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,23
style.css,46,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,10
style.css,47,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,21
style.css,48,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,1,12
style.css,49,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,50,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
style.css,51,css,43c41628,Neil Bango,2025-10-10,23:34:01,-07:00,2025-10-10T23:34:01-07:00,0,0
